"session.id" "run.id" "row.num" "w1" "w2" "w3" "w4" "w5" "w6" "w7" "w8" "probe"
"1" "baseline" 1 1 "future" "menu" "ranch" NA "gravy" "syrup" NA NA "syrup"
"2" "baseline" 1 2 "blaze" "flight" "harbor" "alarm" "lawyer" "ring" "voice" "rats" "scale"
"3" "baseline" 1 3 "drinks" "booth" "record" "pulse" "friend" "suit" "setup" "wind" "doll"
"4" "baseline" 1 4 "threat" "tally" "fury" NA "trash" "hawk" NA NA "threat"
"5" "baseline" 1 5 "exit" "item" "wing" NA "cousin" "class" "swarm" NA "parrot"
"6" "baseline" 1 6 "reward" "copy" "brow" "reflex" "thing" "jazz" "chance" "oven" "chance"
"7" "baseline" 1 7 "bamboo" "mass" "spiral" NA "soda" "hour" NA NA "blur"
"8" "baseline" 1 8 "idol" "apple" "event" NA "knight" "rash" "iron" "gear" "rash"
"9" "baseline" 1 9 "rest" "cellar" "esteem" NA "soap" "witch" NA NA "tube"
"10" "baseline" 1 10 "weight" "share" "aunt" NA "grade" "shot" NA NA "share"
"11" "baseline" 1 11 "gold" "point" "charm" NA "vision" "part" "nick" "wealth" "wealth"
"12" "baseline" 1 12 "stage" "bush" "bonus" "trust" "hand" "jets" "days" "board" "bush"
"13" "baseline" 1 13 "stroke" "bike" "rope" NA "cliff" "cannon" "kiss" "jeans" "straw"
"14" "baseline" 1 14 "charge" "quart" "breed" NA "grain" "crest" "frost" NA "frost"
"15" "baseline" 1 15 "magic" "nanny" "agent" NA "role" "beam" NA NA "quart"
"16" "baseline" 1 16 "disk" "dean" "beep" NA "bottle" "canal" "monk" NA "taxi"
"17" "baseline" 1 17 "sample" "depth" "slug" "wizard" "fold" "critic" "flash" "bars" "liar"
"18" "baseline" 1 18 "infant" "need" "scrap" NA "comb" "virtue" "poppy" "pound" "need"
"19" "baseline" 1 19 "rattle" "jacket" "climax" NA "prank" "bean" "tide" "cheek" "bean"
"20" "baseline" 1 20 "reign" "decade" "bang" "spice" "verse" "heel" "wave" "bees" "bees"
"21" "baseline" 1 21 "visit" "frog" "inch" NA "tattoo" "camel" NA NA "visit"
"22" "baseline" 1 22 "beef" "spouse" "combat" NA "shelf" "dryer" "land" "risk" "logic"
"23" "baseline" 1 23 "poll" "output" "people" NA "dove" "silk" NA NA "people"
"24" "baseline" 1 24 "cradle" "steam" "toast" "tail" "sister" "noise" "plane" "cloud" "heater"
"25" "baseline" 1 25 "pork" "crust" "color" NA "empire" "list" NA NA "noise"
"26" "baseline" 1 26 "joints" "march" "motor" NA "stain" "music" NA NA "pole"
"27" "baseline" 1 27 "hotel" "donor" "flavor" "city" "pasta" "temple" "border" "trophy" "city"
"28" "baseline" 1 28 "feast" "winner" "moment" "bath" "atom" "talent" "carpet" "access" "carpet"
"29" "baseline" 1 29 "payoff" "juice" "tongue" NA "tags" "hint" NA NA "tags"
"30" "baseline" 1 30 "flag" "demon" "wake" NA "washer" "stake" NA NA "greed"
"31" "baseline" 1 31 "lion" "rider" "devil" NA "label" "lake" NA NA "pans"
"32" "baseline" 1 32 "beds" "maid" "razor" NA "muscle" "deed" NA NA "muscle"
"33" "baseline" 1 33 "fusion" "bugs" "drum" "script" "cook" "hair" "level" "beetle" "bugs"
"34" "baseline" 1 34 "dawn" "beer" "slope" NA "chip" "cent" NA NA "fusion"
"35" "baseline" 1 35 "clay" "affair" "stuff" "leak" "cost" "zipper" "leash" "guts" "shell"
