"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1SamplingList","TrialType","CorrectAnswer","CueCorrect","ITI","ms","TRs","Cue","Probe","BYListBas1Pro2Rea1","colorlistBasPro","CurrentColor","Probeimage","Location","probeloc","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","CueSlide.RTTime","CueSlide.ACC","CueSlide.RT","CueSlide.RESP","CueSlide.CRESP","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","Border.OnsetDelay","Border.OnsetTime","Border.DurationError","Border.Duration","Border.StartTime","Border.OffsetTime","Border.FinishTime","Border.OffsetDelay","Border.RTTime","Border.ACC","Border.RT","Border.RESP","Border.CRESP","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","AXList","BXListBas1Pro2Rea1","AYListBas1Pro2Rea1","BngListBas1Pro2Rea2","AngListBas1Pro2Rea2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","baseline1","2","baselineBlockList","2","1","19","118866","2","28400","118848","118868","118869","21","15","147262","2","1600","118869","147264","0","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","1","1600","6","U","P","36","1","White","white.tif","center","50%","1300","14","148861","3","300","147265","148864","148864","17","14","149161","2","300","148864","149163","149163","16","14","149461","3","500","149164","149464","149464","17","149922","1","461","1","1","14","149961","2","4000","149464","149963","149964","16","14","153961","2","300","149971","153963","153963","16","0","1","0",NA,NA,"14","154261","2","500","153968","154263","154263","16","155231","1","970","1","1","14","154761","-14","1300","154263","156047","156047","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","3","4000","8","T","M","30","1","White","white.tif","center","50%","3700","13","156060","2","300","156049","156062","156063","15","13","156360","2","300","156063","156362","156362","15","13","156660","2","500","156363","156662","156663","15","157349","1","689","1","1","13","157160","3","4000","156663","157163","157163","16","13","161160","2","300","157168","161162","161162","15","0","1","0",NA,NA,"12","161459","3","500","161167","161462","161462","15","161888","1","429","1","1","12","161959","-12","3700","161462","165647","165647","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","1","1600","6","A","X",NA,"1","White","white.tif","center","50%","1300","12","165659","2","300","165649","165661","165661","14","12","165959","1","300","165662","165960","165961","13","12","166259","2","500","165961","166261","166261","14","166895","1","636","1","1","12","166759","2","4000","166262","166761","166761","14","11","170758","2","300","166766","170760","170761","13","0","1","0",NA,NA,"11","171058","2","500","170766","171060","171060","13","171399","1","341","2","2","11","171558","-11","1300","171061","172847","172847","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","1","1600","6","A","X",NA,"1","White","white.tif","center","50%","1300","11","172858","2","300","172849","172860","172860","13","11","173158","1","300","172860","173159","173160","12","11","173458","2","500","173160","173460","173460","13","174104","1","646","1","1","11","173958","2","4000","173460","173960","173960","13","10","177957","2","300","173965","177959","177960","12","0","1","0",NA,NA,"10","178257","2","500","177965","178259","178259","12","178631","1","374","2","2","10","178757","-10","1300","178260","180047","180047","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","2","2800","7","H","T","16","1","White","white.tif","center","50%","2500","10","180057","2","300","180049","180059","180059","12","9","180356","2","300","180059","180358","180358","11","9","180656","3","500","180359","180659","180659","12","181155","1","499","1","1","9","181156","3","4000","180659","181159","181159","12","9","185156","2","300","181164","185158","185158","11","0","1","0",NA,NA,"9","185456","2","500","185164","185458","185458","11","186123","1","667","1","1","9","185956","-9","2500","185459","188447","188447","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","BX","1","1","2","2800","7","F","X",NA,"1","White","white.tif","center","50%","2500","8","188455","2","300","188449","188457","188458","10","8","188755","2","300","188458","188757","188757","10","8","189055","2","500","188758","189057","189058","10","189664","1","609","1","1","8","189555","2","4000","189058","189557","189558","10","7","193554","3","300","189563","193557","193557","10","0","1","0",NA,NA,"7","193854","3","500","193562","193857","193857","10","194471","0","617","2","1","7","194354","-7","2500","193857","196847","196847","0","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","3","4000","8","A","X",NA,"1","White","white.tif","center","50%","3700","24","196871","2","300","196849","196873","196873","26","7","197154","2","300","196873","197156","197156","9","7","197454","2","500","197156","197456","197456","9","197984","1","530","1","1","7","197954","2","4000","197457","197956","197956","9","6","201953","2","300","197961","201955","201956","8","0","1","0",NA,NA,"6","202253","3","500","201961","202256","202256","9","202607","1","354","2","2","6","202753","-6","3700","202256","206447","206447","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","2","2800","7","A","X",NA,"1","White","white.tif","center","50%","2500","22","206469","2","300","206449","206471","206472","24","5","206752","2","300","206472","206754","206754","7","5","207052","2","500","206755","207054","207055","7","207374","1","322","1","1","5","207552","2","4000","207055","207554","207555","7","5","211552","2","300","207560","211554","211554","7","0","1","0",NA,NA,"5","211852","2","500","211559","211854","211854","7","212187","1","335","2","2","4","212351","-4","2500","211854","214847","214847","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","3","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","AY","1","1","3","4000","8","A","N",NA,"1","White","white.tif","center","50%","3700","21","214868","2","300","214849","214870","214870","23","4","215151","2","300","214870","215153","215153","6","4","215451","2","500","215153","215453","215453","6","215806","1","355","1","1","4","215951","2","4000","215454","215953","215953","6","3","219950","2","300","215958","219952","219953","5","0","1","0",NA,NA,"3","220250","2","500","219958","220252","220253","5","221248","1","998","1","1","3","220750","-3","3700","220253","224447","224447","0","1",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
