"Procedure","RunNumberFilterValue","baselineBlockList","TextVar1","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1B1SamplingList","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","BAS1B2SamplingList","BAS1B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","baseline1","7","?","baselineBlockList","2","1","62","100092","3","28400","100031","100095","100095","65","8","128438","2","1600","100095","128440","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4D","Even","Consonant","Incongruent","Attend Number","1","2","?","?","2","2","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","1","8","130038","2","800","128442","130040","130040","10","8",130838,"1","300","130040","130839","130839","9","7","131137","3","500","130840","131140","131140","10","7","131637","3","4000","131140","131640","131640","10","7","135637","-7","3200","131641","138830","138830","0",136784,1,1147,"1","1","1","23","138853","2","800","138830","138855","138855","25","6","139636","-6","3600","138856","143230","143230","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1A","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","1","2","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","22","143252","2","800","143232","143254","143255","24","5",144035,"2","300","143255","144037","144037","7","5","144335","3","500","144038","144338","144338","8","5","144835","2","4000","144338","144837","144838","7","5","148835","-5","3200","144838","152030","152030","0",150027,1,1192,"1","1","1","21","152051","2","800","152030","152053","152053","23","4","152834","-4","2400","152054","155230","155230","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","20","155250","2","800","155232","155252","155253","22","4",156034,"1","300","155253","156035","156035","5","4","156334","2","500","156036","156336","156336","6","3","156833","3","4000","156336","156836","156836","6","3","160833","-3","3200","156837","164030","164030","0",162365,1,1532,"2","2","1","19","164049","2","800","164030","164051","164051","21","2","164832","-2","1200","164052","166030","166030","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6I","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","1","19","166049","2","800","166032","166051","166051","21","2",166832,"2","300","166051","166834","166834","4","2","167132","2","500","166834","167134","167134","4","2","167632","2","4000","167134","167634","167634","4","1","171631","-1","3200","167635","174830","174830","0",172582,1,951,"1","1","1","17","174847","2","800","174830","174849","174850","19","0","175630","0","1200","174850","176830","176830","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","D4","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","1","1","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","2","17","176847","2","800","176832","176849","176849","19","0",177630,"2","300","176850","177632","177632","2","0","177930","2","500","177633","177932","177933","2","0","178430","2","4000","177933","178432","178432","2","16","182446","-16","3200","178433","185630","185630","0",184004,1,1558,"2","2","1","16","185646","2","800","185630","185648","185648","18","15","186445","-15","1200","185648","187630","187630","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","I6","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","2","3200","X","2400","1","15","187645","3","800","187632","187648","187648","18","15",188445,"2","300","187648","188447","188447","17","15","188745","2","500","188447","188747","188748","17","15","189245","2","4000","188748","189247","189248","17","14","193244","-14","3200","189248","196430","196430","0",194623,1,1379,"1","1","1","14","196444","2","800","196430","196446","196446","16","14","197244","-14","2400","196447","199630","199630","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","13","199643","2","800","199632","199645","199646","15","13",200443,"2","300","199646","200445","200445","15","13","200743","2","500","200445","200745","200746","15","13","201243","2","4000","200746","201245","201246","15","12","205242","-12","3200","201246","208430","208430","0",206444,1,1202,"1","1","1","12","208442","2","800","208430","208444","208444","14","12","209242","-12","2400","208445","211630","211630","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","B2","Even","Consonant","Incongruent","Attend Number","1","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","11","211641","3","800","211632","211644","211644","14","11",212441,"2","300","211644","212443","212443","13","11","212741","2","500","212443","212743","212744","13","11","213241","2","4000","212744","213243","213244","13","11","217241","-11","3200","213244","220430","220430","0",219429,1,2188,"1","1","1","10","220440","2","800","220430","220442","220443","12","10","221240","-10","3600","220443","224830","224830","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","8","?","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","1","9","224839","2","800","224832","224841","224842","11","9",225639,"2","300","224842","225641","225641","11","9","225939","2","500","225641","225941","225942","11","9","226439","2","4000","225942","226441","226442","11","8","230438","-8","3200","226442","233630","233630","0",231848,1,1410,"1","1","1","8","233638","2","800","233630","233640","233640","10","8","234438","-8","3600","233641","238030","238030","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
