"Procedure","RunNumberFilterValue","baselineBlockList","TextVar1","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","BAS2B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","BAS2B2SamplingList","BAS2B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","baseline2","14","?","baselineBlockList","2","1","14","48792","2","28400","48779","48794","48794","16","9","77187","3","1600","48795","77190","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","2","2","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","12","3600","1","9","78787","2","800","77191","78789","78790","11","9",79587,"2","300","78790","79589","79589","11","9","79887","2","500","79589","79889","79889","11","9","80387","2","4000","79890","80389","80389","11","8","84386","-8","3200","80390","87578","87578","0",85825,1,1439,"1","1","1","8","87586","2","800","87578","87588","87588","10","8","88386","-8","3600","87589","91978","91978","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","1","2","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","5","3600","2","24","92002","2","800","91980","92004","92004","26","7",92785,"2","300","92004","92787","92787","9","7","93085","2","500","92787","93087","93087","9","7","93585","2","4000","93088","93587","93587","9","6","97584","-6","3200","93588","100778","100778","0",98580,1,996,"2","2","1","22","100800","3","800","100778","100803","100803","25","6","101584","-6","3600","100803","105178","105178","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","1","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","2","3600","2","22","105200","2","800","105180","105202","105202","24","5",105983,"2","300","105202","105985","105985","7","5","106283","2","500","105985","106285","106285","7","5","106783","2","4000","106286","106785","106785","7","4","110782","-4","3200","106786","113978","113978","0",112137,0,1355,"1","2","0","20","113998","2","800","113978","114000","114001","22","4","114782","-4","3600","114001","118378","118378","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","11","2400","1","20","118398","2","800","118380","118400","118400","22","3",119181,"1","300","118400","119182","119183","4","3","119481","2","500","119183","119483","119483","5","3","119981","2","4000","119484","119983","119983","5","2","123980","-2","3200","119984","127178","127178","0",125743,1,1763,"1","1","1","18","127196","2","800","127178","127198","127199","20","1","127979","-1","2400","127199","130378","130378","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","15","2400","2","18","130396","2","800","130380","130398","130398","20","1",131179,"2","300","130398","131181","131181","3","1","131479","2","500","131181","131481","131481","3","1","131979","2","4000","131481","131981","131981","3","0","135978","0","3200","131982","139178","139178","0",137356,1,1378,"2","2","1","16","139194","2","800","139178","139196","139197","18","0","139978","0","2400","139197","142378","142378","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","18","1200","2","16","142394","2","800","142380","142396","142396","18","16",143194,"1","300","142396","143195","143196","17","16","143494","2","500","143196","143496","143496","18","16","143994","2","4000","143496","143996","143996","18","15","147993","-15","3200","143997","151178","151178","0",149554,1,1561,"2","2","1","14","151192","2","800","151178","151194","151195","16","14","151992","-14","1200","151195","153178","153178","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","17","1200","2","14","153192","2","800","153180","153194","153195","16","14",153992,"2","300","153195","153994","153994","16","14","154292","2","500","153994","154294","154294","16","14","154792","2","4000","154295","154794","154794","16","13","158791","-13","3200","154795","161978","161978","0",160669,1,1878,"2","2","1","13","161991","2","800","161978","161993","161993","15","13","162791","-13","1200","161993","163978","163978","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","3","1200","2","12","163990","3","800","163980","163993","163993","15","12",164790,"2","300","163993","164792","164792","14","12","165090","2","500","164792","165092","165093","14","12","165590","2","4000","165093","165592","165593","14","12","169590","-12","3200","165593","172778","172778","0",171195,1,1605,"2","2","1","11","172789","2","800","172778","172791","172791","13","11","173589","-11","1200","172792","174778","174778","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
"CuedTSTrialPROC","baseline2","15","?","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5H","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","7","2400","2","11","174789","2","800","174780","174791","174791","13","11",175589,"1","300","174791","175590","175590","12","11","175889","2","500","175591","175891","175891","13","10","176388","3","4000","175891","176391","176391","13","10","180388","-10","3200","176391","183578","183578","0",182216,1,1828,"2","2","1","9","183587","2","800","183578","183589","183590","11","9","184387","-9","2400","183590","186778","186778","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48764
