"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","ListLen","NumTrials","ProbePos","TopN","w1","w2","w3","w4","w5","w6","w7","w8","probe","correct","ITI","ms","TRs","BAS2SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","List1Slide.OnsetDelay","List1Slide.OnsetTime","List1Slide.DurationError","List1Slide.Duration","List1Slide.StartTime","List1Slide.OffsetTime","List1Slide.FinishTime","List1Slide.OffsetDelay","List2Slide.OnsetDelay","List2Slide.OnsetTime","List2Slide.DurationError","List2Slide.Duration","List2Slide.StartTime","List2Slide.OffsetTime","List2Slide.FinishTime","List2Slide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","baseline2","9","baselineBlockList","2","1","9","52638","2","28400","52630","52640","52640","11","4","81033","2","1600","52640","81035","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","1","3","north","tone","spark",NA,"cloth","belief",NA,NA,"north","2","2","2800","11","1","2000","4","82633","2","500","81037","82635","82636","6","4",83133,"2","300","82636","83135","83135","6","4","83433","2","2400","83135","83435","83435","6","3","85832","3","2400","83436","85835","85835","6","3","88232","2","4000","85835","88234","88235","5","2","92231","3","1600","88235","92234","92234","5",93526,1,1295,2,"2","2","93831","-2","2000","92234","95829","95829","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","4","3","rice","laser","card",NA,"ransom","raven",NA,NA,"ransom","2","2","2800","11","2","2000","19","95848","2","500","95830","95850","95850","21","2",96331,"2","300","95850","96333","96333","4","2","96631","2","2400","96333","96633","96633","4","1","99030","3","2400","96634","99033","99033","4","1","101430","2","4000","99033","101432","101433","3","0","105429","3","1600","101433","105432","105432","3",106513,1,1084,2,"2","0","107029","0","2000","105432","109029","109029","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","5","3","giant","league","torch",NA,"anger","trick",NA,NA,"chin","1","3","4000","12","3","3200","16","109045","3","500","109030","109048","109048","19","0",109529,"1","300","109048","109530","109531","1","0","109829","2","2400","109531","109831","109831","2","16","112245","2","2400","109831","112247","112247","18","16","114645","2","4000","112248","114647","114647","18","15","118644","2","1600","114648","118646","118647","17",119608,1,964,1,"1","15","120244","-15","3200","118647","123429","123429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",6,"1","6","3","refund","match","deck",NA,"bridge","envy","warmth",NA,"whale","1","1","1600","10","4","800","14","123443","2","500","123430","123445","123446","16","14",123943,"2","300","123446","123945","123945","16","14","124243","2","2400","123945","124245","124246","16","14","126643","2","2400","124246","126645","126645","16","13","129042","2","4000","126645","129044","129045","15","13","133042","2","1600","129045","133044","133044","15",134172,1,1130,1,"1","12","134641","-12","800","133044","135429","135429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",8,"2","6","4","game","waist","robot","tool","loss","lady","snail","pearl","cotton","1","2","2800","11","5","2000","12","135441","3","500","135430","135444","135444","15","12",135941,"2","300","135444","135943","135943","14","12","136241","2","2400","135943","136243","136244","14","12","138641","2","2400","136244","138643","138643","14","11","141040","3","4000","138643","141043","141043","14","11","145040","2","1600","141043","145042","145042","13",145942,1,902,1,"1","11","146640","-11","2000","145043","148629","148629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","3","3","name","status","wheel",NA,"bone","cabin",NA,NA,"wheel","2","3","4000","12","6","3200","10","148639","2","500","148630","148641","148642","12","10",149139,"2","300","148642","149141","149141","12","10","149439","2","2400","149141","149441","149442","12","10","151839","2","2400","149442","151841","151841","12","9","154238","3","4000","151841","154241","154241","12","9","158238","2","1600","154241","158240","158240","11",159186,1,948,2,"2","8","159837","-8","3200","158241","163029","163029","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",5,"1","2","3","coal","goods","rebel",NA,"wool","roses",NA,NA,"cabin","1","1","1600","10","7","800","8","163037","2","500","163030","163039","163040","10","8",163537,"2","300","163040","163539","163539","10","8","163837","2","2400","163539","163839","163839","10","7","166236","3","2400","163840","166239","166239","10","7","168636","2","4000","166239","168638","168639","9","6","172635","3","1600","168639","172638","172638","9",174282,1,1647,1,"1","6","174235","-6","800","172638","175029","175029","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","3","3","bubble","rumor","grip",NA,"outlet","height",NA,NA,"hatch","1","3","4000","12","8","3200","23","175052","2","500","175031","175054","175054","25","6",175535,"2","300","175054","175537","175537","8","6","175835","2","2400","175537","175837","175837","8","6","178235","2","2400","175838","178237","178237","8","5","180634","2","4000","178237","180636","180637","7","5","184634","2","1600","180637","184636","184636","7",185442,1,808,1,"1","4","186233","-4","3200","184636","189429","189429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",7,"1","6","3","knob","cross","study",NA,"campus","delay","memo","blend","flame","1","1","1600","10","9","800","20","189449","3","500","189430","189452","189452","23","4",189933,"1","300","189452","189934","189935","5","4","190233","2","2400","189935","190235","190235","6","3","192632","2","2400","190235","192634","192635","5","3","195032","2","4000","192635","195034","195034","5","2","199031","2","1600","195035","199033","199034","4",200016,1,985,1,"1","2","200631","-2","800","199034","201429","201429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
