"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MC","Con",0.896,0.896,0.86,0.848,0.86,0.848
"MC","Con",1.064,1.064,1.029,1.015,1.029,1.015
"MC","Con",0.815,0.815,0.78,0.765,0.78,0.765
"MC","Con",0.813,0.813,0.777,0.764,0.777,0.764
"MC","Con",0.85,0.85,0.735,0.669,0.735,0.669
"MC","Con",0.938,0.938,0.895,0.873,0.895,0.873
"MC","InCon",0.964,0.964,0.929,0.917,0.929,0.917
"PC50","Con",0.885,0.885,0.84,0.819,0.84,0.819
"PC50","InCon",1.142,1.142,1.104,1.076,1.104,1.076
"MC","InCon",1.311,1.311,1.278,1.265,1.278,1.265
"MC","Con",0.889,0.889,0.853,0.834,0.853,0.834
"MC","Con",1.045,1.045,1.009,0.995,1.009,0.995
"PC50","InCon",1.181,1.181,1.148,1.137,1.148,1.137
"MC","Con",0.844,0.844,0.808,0.793,0.808,0.793
"PC50","Con",0.989,0.989,0.951,0.936,0.951,0.936
"MC","InCon",1.142,1.142,1.097,1.074,1.097,1.074
"MC","Con",0.951,0.951,0.914,0.889,0.914,0.889
"PC50","InCon",1.07,1.07,1.001,0.98,1.001,0.98
"MC","Con",1.196,1.196,1.16,1.006,1.16,1.006
"PC50","Con",1.271,1.271,1.238,1.168,1.238,1.168
"PC50","InCon",1.029,1.029,0.935,0.912,0.935,0.912
"MC","Con",0.942,0.942,0.894,0.866,0.894,0.866
"MC","InCon",1.117,1.117,1.065,0.957,1.065,0.957
"MC","Con",0.947,0.947,0.91,0.896,0.91,0.896
"PC50","Con",1.006,1.006,0.966,0.904,0.966,0.904
"PC50","Con",0.972,0.972,0.938,0.938,0.938,0.938
"PC50","Con",0.959,0.959,0.917,0.894,0.917,0.894
"PC50","InCon",1.166,1.166,1.132,1.098,1.132,1.098
"MC","Con",0.962,0.962,0.929,0.916,0.929,0.916
"MC","InCon",1.132,1.132,1.096,1.056,1.096,1.056
"MC","Con",1.063,1.063,1.017,0.992,1.017,0.992
"MC","Con",0.884,0.884,0.849,0.836,0.849,0.836
"MC","InCon",1.067,1.067,1.032,1.008,1.032,1.008
"MC","Con",1.197,1.197,1.1,1.075,1.1,1.075
"MC","Con",1.128,1.128,1.093,1.078,1.093,1.078
"PC50","InCon",1.032,1.032,0.997,0.983,0.997,0.983
"MC","Con",0.884,0.884,0.85,0.836,0.85,0.836
"MC","Con",0.881,0.881,0.847,0.834,0.847,0.834
"PC50","InCon",1.029,1.029,0.955,0.92,0.955,0.92
"MC","Con",0.904,0.904,0.87,0.855,0.87,0.855
"PC50","InCon",1.036,1.036,1.002,0.934,1.002,0.934
"PC50","Con",0.954,0.954,0.921,0.908,0.921,0.908
"MC","Con",1.163,1.163,1.129,0.996,1.129,0.996
"MC","InCon",0.952,0.952,0.918,0.904,0.918,0.904
"MC","Con",1.013,1.013,0.936,0.896,0.936,0.896
"PC50","InCon",1.087,1.087,1.05,0.971,1.05,0.971
"MC","Con",1.129,1.129,1.073,0.935,1.073,0.935
"MC","Con",0.878,0.878,0.84,0.795,0.84,0.795
"MC","Con",0.95,0.95,0.892,0.853,0.892,0.853
"PC50","Con",1.029,1.029,0.992,0.943,0.992,0.943
"MC","Con",0.812,0.812,0.776,0.763,0.776,0.763
"MC","InCon",1.1,1.1,0.956,0.94,0.956,0.94
"MC","InCon",1.128,1.128,1.093,1.013,1.093,1.013
"PC50","Con",1.326,1.326,1.292,1.239,1.292,1.239
"MC","Con",1.279,1.279,1.128,1.103,1.128,1.103
"PC50","Con",0.88,0.88,0.837,0.794,0.837,0.794
"MC","Con",0.833,0.833,0.799,0.785,0.799,0.785
"MC","InCon",1.043,1.043,1.007,0.993,1.007,0.993
"MC","Con",0.927,0.927,0.892,0.876,0.892,0.876
"MC","InCon",1.041,1.041,1.008,0.995,1.008,0.995
"MC","Con",1.112,1.112,1.067,1.032,1.067,1.032
"PC50","Con",1.044,1.044,1.007,0.907,1.007,0.907
"PC50","Con",1.106,1.106,0.983,0.904,0.983,0.904
"MC","InCon",1.178,1.178,1.144,1.107,1.144,1.107
"MC","Con",0.918,0.918,0.793,0.762,0.793,0.762
"MC","Con",0.977,0.977,0.937,0.923,0.937,0.923
"PC50","InCon",1.001,1.001,0.965,0.928,0.965,0.928
"MC","Con",1.006,1.006,0.967,0.936,0.967,0.936
"MC","Con",0.964,0.964,0.92,0.85,0.92,0.85
"PC50","InCon",1.106,1.106,1.069,1.041,1.069,1.041
"PC50","InCon",1.101,1.101,1.063,1.011,1.063,1.011
"MC","Con",0.946,0.946,0.912,0.834,0.912,0.834
"MC","Con",1.099,1.099,1.058,0.9,1.058,0.9
"MC","InCon",1.046,1.046,1.01,0.989,1.01,0.989
"MC","Con",1.041,1.041,0.975,0.94,0.975,0.94
"PC50","Con",1.018,1.018,0.984,0.891,0.984,0.891
"PC50","Con",1.004,1.004,0.875,0.782,0.875,0.782
"MC","Con",0.925,0.925,0.84,0.807,0.84,0.807
"MC","Con",0.91,0.91,0.875,0.855,0.875,0.855
"MC","InCon",1.117,1.117,1.084,1.072,1.084,1.072
"MC","Con",0.876,0.876,0.809,0.771,0.809,0.771
"PC50","InCon",1.295,1.295,1.259,1.241,1.259,1.241
"PC50","InCon",0.949,0.949,0.913,0.852,0.913,0.852
"PC50","Con",1.004,1.004,0.962,0.87,0.962,0.87
"PC50","InCon",0.968,0.968,0.933,0.904,0.933,0.904
"PC50","Con",0.955,0.955,0.918,0.889,0.918,0.889
"MC","Con",0.913,0.913,0.874,0.858,0.874,0.858
"PC50","InCon",1.45,1.45,1.415,1.369,1.415,1.369
"PC50","Con",1.039,1.039,0.99,0.944,0.99,0.944
"MC","InCon",1.029,1.029,0.989,0.93,0.989,0.93
"MC","Con",0.873,0.873,0.839,0.829,0.839,0.829
"MC","InCon",0.905,0.905,0.869,0.855,0.869,0.855
"MC","Con",1.054,1.054,1.018,1.002,1.018,1.002
"MC","Con",0.933,0.933,0.899,0.885,0.899,0.885
"MC","Con",0.887,0.887,0.852,0.84,0.852,0.84
"MC","Con",1.008,1.008,0.968,0.944,0.968,0.944
"PC50","Con",0.895,0.895,0.858,0.84,0.858,0.84
"PC50","InCon",0.976,0.976,0.935,0.874,0.935,0.874
"MC","Con",1.07,1.07,1.034,1.016,1.034,1.016
"MC","Con",0.952,0.952,0.917,0.892,0.917,0.892
"MC","Con",0.869,0.869,0.831,0.815,0.831,0.815
"MC","Con",0.947,0.947,0.913,0.869,0.913,0.869
"PC50","InCon",1.063,1.063,1.022,1,1.022,1
"MC","InCon",1.172,1.172,1.131,1.085,1.131,1.085
"MC","Con",1.196,1.196,1.162,1.147,1.162,1.147
"MC","Con",1.176,1.176,1.14,1.124,1.14,1.124
"MC","Con",1.064,1.064,1.029,1.012,1.029,1.012
"MC","InCon",0.898,0.898,0.863,0.851,0.863,0.851
"MC","Con",0.871,0.871,0.836,0.823,0.836,0.823
"MC","InCon",1.073,1.073,0.998,0.958,0.998,0.958
"PC50","InCon",1.034,1.034,0.998,0.919,0.998,0.919
"MC","Con",0.93,0.93,0.897,0.884,0.897,0.884
"PC50","Con",0.897,0.897,0.808,0.773,0.808,0.773
"MC","Con",0.951,0.951,0.916,0.897,0.916,0.897
"PC50","Con",0.806,0.806,0.77,0.744,0.77,0.744
"PC50","Con",0.948,0.948,0.913,0.901,0.913,0.901
"MC","InCon",1.032,1.032,0.998,0.987,0.998,0.987
"PC50","InCon",1.033,1.033,0.999,0.989,0.999,0.989
"MC","Con",1,1,0.967,0.952,0.967,0.952
"MC","Con",0.959,0.959,0.92,0.893,0.92,0.893
"MC","Con",0.886,0.886,0.85,0.82,0.85,0.82
"PC50","Con",0.909,0.909,0.876,0.865,0.876,0.865
"PC50","InCon",0.971,0.971,0.935,0.916,0.935,0.916
"MC","Con",0.985,0.985,0.949,0.935,0.949,0.935
"MC","Con",1.019,1.019,0.984,0.965,0.984,0.965
"PC50","Con",0.847,0.847,0.811,0.792,0.811,0.792
"MC","Con",0.806,0.806,0.771,0.755,0.771,0.755
"MC","Con",0.819,0.819,0.784,0.771,0.784,0.771
"PC50","InCon",1.047,1.047,1.005,0.988,1.005,0.988
"MC","Con",0.783,0.783,0.728,0.701,0.728,0.701
"PC50","InCon",0.914,0.914,0.88,0.869,0.88,0.869
"MC","Con",0.82,0.82,0.785,0.768,0.785,0.768
"MC","Con",0.871,0.871,0.834,0.76,0.834,0.76
"PC50","Con",1.074,1.074,1.033,1.007,1.033,1.007
"MC","InCon",1.049,1.049,1.015,0.994,1.015,0.994
"MC","InCon",1.2,1.2,1.162,1.142,1.162,1.142
"MC","Con",0.943,0.943,0.909,0.898,0.909,0.898
"MC","Con",0.828,0.828,0.787,0.765,0.787,0.765
"PC50","InCon",1.134,1.134,1.102,1.093,1.102,1.093
"MC","Con",0.878,0.878,0.843,0.825,0.843,0.825
"MC","InCon",1.143,1.143,1.104,1.075,1.104,1.075
"MC","InCon",1.179,1.179,1.142,1.125,1.142,1.125
"MC","Con",1.196,1.196,1.163,1.148,1.163,1.148
"MC","Con",0.987,0.987,0.936,0.897,0.936,0.897
"MC","Con",0.826,0.826,0.788,0.753,0.788,0.753
"MC","InCon",1.042,1.042,1.005,0.982,1.005,0.982
"PC50","Con",0.893,0.893,0.855,0.798,0.855,0.798
"MC","Con",1.037,1.037,1.001,0.98,1.001,0.98
"MC","Con",0.912,0.912,0.863,0.784,0.863,0.784
"MC","Con",0.958,0.958,0.923,0.908,0.923,0.908
"PC50","InCon",0.965,0.965,0.928,0.907,0.928,0.907
"MC","InCon",1.038,1.038,NA,NA,NA,NA
