"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1SamplingList","ID","ITI","ms","TRs","McConBas1","Stim","TrialType","LWPC","Correct","Color","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McInConBas1","PC50ConBas1","PC50InConBas1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","baseline1","3","baselineBlockList","2","1","18","59784","2","28400","59767","59786","59786","20","13","88179","2","1600","59786","88181","0","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2400","4","2","BLUE","Con","MC","blue","blue","132017_baseline_StroopBas_run1_AudioRecord-1.wav","2100","13","89779","2","300","88183","89781","89781","15","13",90079,"1","300","89781","90080","90081","14","132017_baseline_StroopBas_run1_AudioRecord-1.wav","13","90379","3","100","90081","90382","90382","16","13","90479","2","2000","90382","90481","90482","15","12","92478","-12","2100","90482","94566","94566","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2400","4","4","PURPLE","Con","MC","purple","purple","132017_baseline_StroopBas_run1_AudioRecord-2.wav","2100","29","94595","2","300","94574","94597","94597","31","12",94878,"2","300","94598","94880","94880","14","132017_baseline_StroopBas_run1_AudioRecord-2.wav","12","95178","3","100","94880","95181","95181","15","12","95278","2","2000","95181","95280","95281","14","12","97278","-12","2100","95281","99366","99366","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","3","3600","5","1","RED","Con","MC","red","red","132017_baseline_StroopBas_run1_AudioRecord-3.wav","3300","28","99394","2","300","99372","99396","99396","30","11",99677,"2","300","99397","99679","99679","13","132017_baseline_StroopBas_run1_AudioRecord-3.wav","11","99977","3","100","99679","99980","99981","14","11","100077","2","2000","99981","100079","100080","13","11","102077","-11","3300","100080","105366","105366","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2400","4","1","RED","Con","MC","red","red","132017_baseline_StroopBas_run1_AudioRecord-4.wav","2100","27","105393","2","300","105372","105395","105395","29","10",105676,"2","300","105396","105678","105678","12","132017_baseline_StroopBas_run1_AudioRecord-4.wav","10","105976","3","100","105678","105979","105980","13","10","106076","2","2000","105980","106078","106079","12","10","108076","-10","2100","106079","110166","110166","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1200","3","2","BLUE","Con","MC","blue","blue","132017_baseline_StroopBas_run1_AudioRecord-5.wav","900","26","110192","2","300","110172","110194","110195","28","10",110476,"1","300","110195","110477","110477","11","132017_baseline_StroopBas_run1_AudioRecord-5.wav","9","110775","4","100","110478","110779","110779","13","9","110875","3","2000","110779","110878","110878","12","9","112875","-9","900","110878","113766","113766","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1200","3","4","PURPLE","Con","MC","purple","purple","132017_baseline_StroopBas_run1_AudioRecord-6.wav","900","26","113792","2","300","113774","113794","113794","28","9",114075,"2","300","113794","114077","114077","11","132017_baseline_StroopBas_run1_AudioRecord-6.wav","9","114375","3","100","114077","114378","114378","12","9","114475","2","2000","114379","114477","114478","11","9","116475","-9","900","114478","117366","117366","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","3","3600","5",NA,"PURPLE","InCon","MC","white","white","132017_baseline_StroopBas_run1_AudioRecord-7.wav","3300","25","117391","2","300","117373","117393","117393","27","8",117674,"2","300","117394","117676","117676","10","132017_baseline_StroopBas_run1_AudioRecord-7.wav","8","117974","3","100","117676","117977","117978","11","8","118074","3","2000","117978","118077","118077","11","8","120074","-8","3300","118077","123366","123366","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","1","1200","3",NA,"YELLOW","Con","PC50","yellow","yellow","132017_baseline_StroopBas_run1_AudioRecord-8.wav","900","24","123390","2","300","123372","123392","123393","26","7",123673,"2","300","123393","123675","123675","9","132017_baseline_StroopBas_run1_AudioRecord-8.wav","7","123973","3","100","123676","123976","123977","10","7","124073","3","2000","123977","124076","124076","10","7","126073","-7","900","124076","126966","126966","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
"StroopTrialPROC","baseline1","4","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","3","3600","5",NA,"YELLOW","InCon","PC50","black","black","132017_baseline_StroopBas_run1_AudioRecord-9.wav","3300","24","126990","2","300","126982","126992","126992","26","7",127273,"2","300","126992","127275","127275","9","132017_baseline_StroopBas_run1_AudioRecord-9.wav","7","127573","3","100","127275","127576","127576","10","7","127673","2","2000","127576","127675","127675","9","6","129672","-6","3300","127676","132966","132966","0",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59760
