"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","BAS2SamplingList","McConBas2","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McInConBas2","PC50InConBas2","PC50ConBas2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","baseline2","11","baselineBlockList","2","1","19","37188","2","28400","37170","37190","37191","21","15","65584","2","1600","37191","65586","0","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-1.wav","900","14","67183","3","300","65587","67186","67186","17","14",67483,"2","300","67186","67485","67485","16","132017_baseline_StroopBas_run2_AudioRecord-1.wav","14","67783","3","100","67485","67786","67787","17","14","67883","2","2000","67787","67885","67886","16","14","69883","-14","900","67886","70769","70769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","InCon","MC","blue","blue","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-2.wav","3300","30","70799","3","300","70784","70802","70802","33","14",71083,"1","300","70802","71084","71085","15","132017_baseline_StroopBas_run2_AudioRecord-2.wav","14","71383","3","100","71085","71386","71386","17","14","71483","2","2000","71386","71485","71485","16","13","73482","-13","3300","71486","76769","76769","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","black","black","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-3.wav","900","13","76782","2","300","76775","76784","76784","15","13",77082,"1","300","76785","77083","77084","14","132017_baseline_StroopBas_run2_AudioRecord-3.wav","13","77382","3","100","77084","77385","77385","16","13","77482","2","2000","77385","77484","77484","15","12","79481","-12","900","77485","80369","80369","0",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-4.wav","2100","29","80398","2","300","80380","80400","80400","31","12",80681,"2","300","80401","80683","80683","14","132017_baseline_StroopBas_run2_AudioRecord-4.wav","12","80981","3","100","80683","80984","80984","15","12","81081","2","2000","80985","81083","81084","14","12","83081","-12","2100","81084","85169","85169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","YELLOW","Con","PC50","yellow","yellow","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-5.wav","900","28","85197","2","300","85175","85199","85200","30","11",85480,"2","300","85200","85482","85482","13","132017_baseline_StroopBas_run2_AudioRecord-5.wav","11","85780","3","100","85483","85783","85784","14","11","85880","3","2000","85784","85883","85883","14","11","87880","-11","900","85883","88769","88769","0",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-6.wav","2100","28","88797","2","300","88779","88799","88799","30","11",89080,"2","300","88799","89082","89082","13","132017_baseline_StroopBas_run2_AudioRecord-6.wav","11","89380","3","100","89082","89383","89383","14","11","89480","2","2000","89383","89482","89483","13","10","91479","-10","2100","89483","93569","93569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","Con","PC50","black","black","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-7.wav","900","27","93596","3","300","93576","93599","93599","30","10",93879,"2","300","93600","93881","93881","12","132017_baseline_StroopBas_run2_AudioRecord-7.wav","10","94179","3","100","93882","94182","94183","13","10","94279","3","2000","94183","94282","94282","13","10","96279","-10","900","94283","97169","97169","0",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","Con","PC50","pink","255,105,180","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-8.wav","2100","26","97195","2","300","97177","97197","97198","28","10",97479,"1","300","97198","97480","97480","11","132017_baseline_StroopBas_run2_AudioRecord-8.wav","9","97778","4","100","97481","97782","97782","13","9","97878","3","2000","97782","97881","97881","12","9","99878","-9","2100","97881","101969","101969","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MC","purple","purple","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-9.wav","3300","25","101994","3","300","101975","101997","101997","28","9",102278,"1","300","101997","102279","102280","10","132017_baseline_StroopBas_run2_AudioRecord-9.wav","9","102578","3","100","102280","102581","102581","12","9","102678","2","2000","102581","102680","102680","11","8","104677","-8","3300","102681","107969","107969","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
