"Procedure","RunNumberFilterValue","proactiveBlockList","BCText","BCAllowable","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","CorrectAnswer","CueCorrect","ITI","ms","TRs","Cue","Probe","colorlistBasPro","CurrentColor","Probeimage","Location","probeloc","BYListBas2Pro1Rea2","PRO1SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","CueSlide.RTTime","CueSlide.ACC","CueSlide.RT","CueSlide.RESP","CueSlide.CRESP","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","Border.OnsetDelay","Border.OnsetTime","Border.DurationError","Border.Duration","Border.StartTime","Border.OffsetTime","Border.FinishTime","Border.OffsetDelay","Border.RTTime","Border.ACC","Border.RT","Border.RESP","Border.CRESP","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","AXList","BXListBas2Pro1Rea2","AngListBas2Pro1Rea1","AYListBas2Pro1Rea2","BngListBas2Pro1Rea1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","proactive1","6","?","?","proactiveBlockList","2","1","15","197396","2","28400","197382","197398","197398","17","10","225791","2","1600","197398","225793","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","1","1600","6","P","T","1","White","white.tif","center","50%","25","4","1300","10","227391","2","300","225795","227393","227393","12","10","227691","1","300","227394","227692","227693","11","10","227991","2","500","227693","227993","227993","12","228435","1","444","1","1","10","228491","2","4000","227993","228493","228493","12","9","232490","2","300","228500","232492","232493","11","0","1","0",NA,NA,"9","232790","2","500","232498","232792","232792","11","233119","1","329","1","1","9","233290","-9","1300","232793","234581","234581","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","2","2800","7","A","X","1","White","white.tif","center","50%",NA,"1","2500","9","234590","2","300","234583","234592","234592","11","9","234890","1","300","234592","234891","234892","10","9","235190","2","500","234892","235192","235192","11","235765","1","575","1","1","9","235690","2","4000","235192","235692","235692","11","8","239689","2","300","235697","239691","239691","10","0","1","0",NA,NA,"8","239989","2","500","239697","239991","239991","10","240250","1","261","2","2","8","240489","-8","2500","239992","242981","242981","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BX","1","1","2","2800","7","T","X","1","White","white.tif","center","50%",NA,"3","2500","24","243005","2","300","242983","243007","243008","26","7","243288","2","300","243008","243290","243290","9","7","243588","2","500","243291","243590","243591","9","243974","1","386","1","1","7","244088","2","4000","243591","244090","244091","9","7","248088","2","300","244096","248090","248090","9","0","1","0",NA,NA,"7","248388","2","500","248095","248390","248390","9","248682","1","294","1","1","6","248887","-6","2500","248390","251381","251381","0","1",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ang",NA,"1","2","2800","7","A","6","1","White","white.tif","center","50%",NA,"5","2500","23","251404","2","300","251383","251406","251406","25","6","251687","2","300","251406","251689","251689","8","6","251987","2","500","251689","251989","251989","8","252480","1","493","1","1","6","252487","2","4000","251990","252489","252489","8","5","256486","2","300","252494","256488","256489","7","0","1","0",NA,NA,"5","256786","2","500","256494","256788","256789","7","257216","0","430","1",NA,"5","257286","-5","2500","256789","259781","259781","0","0",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","3","4000","8","A","X","1","White","white.tif","center","50%",NA,"1","3700","21","259802","3","300","259783","259805","259805","24","5","260086","1","300","259805","260087","260088","6","5","260386","2","500","260088","260388","260388","7","261032","1","646","1","1","5","260886","2","4000","260388","260888","260888","7","4","264885","2","300","260893","264887","264887","6","0","1","0",NA,NA,"4","265185","2","500","264893","265187","265187","6","265622","1","437","2","2","4","265685","-4","3700","265188","269381","269381","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","3","4000","8","A","X","1","White","white.tif","center","50%",NA,"1","3700","20","269401","2","300","269383","269403","269403","22","3","269684","2","300","269404","269686","269686","5","3","269984","2","500","269687","269986","269987","5","270411","1","427","1","1","3","270484","2","4000","269987","270486","270487","5","2","274483","3","300","270492","274486","274486","5","0","1","0",NA,NA,"2","274783","2","500","274491","274785","274786","4","275328","1","545","2","2","2","275283","-2","3700","274786","278981","278981","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","2","2800","7","D","U","1","White","white.tif","center","50%","5","4","2500","18","278999","2","300","278983","279001","279002","20","2","279283","1","300","279002","279284","279285","3","2","279583","2","500","279285","279585","279585","4","280232","1","649","1","1","2","280083","2","4000","279585","280085","280085","4","1","284082","2","300","280090","284084","284084","3","0","1","0",NA,NA,"1","284382","2","500","284090","284384","284384","3","284737","1","355","1","1","1","284882","-1","2500","284385","287381","287381","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","1","1600","6","A","X","1","White","white.tif","center","50%",NA,"1","1300","17","287398","2","300","287383","287400","287401","19","0","287681","2","300","287401","287683","287683","2","0","287981","2","500","287684","287983","287984","2","288413","1","432","1","1","0","288481","2","4000","287984","288483","288484","2","16","292497","2","300","288489","292499","292500","18","0","1","0",NA,NA,"16","292797","2","500","292505","292799","292800","18","293104","1","307","2","2","16","293297","-16","1300","292800","294581","294581","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","3","4000","8","H","F","1","White","white.tif","center","50%","13","4","3700","16","294597","2","300","294583","294599","294599","18","16","294897","2","300","294600","294899","294899","18","16","295197","2","500","294899","295199","295199","18","295946","1","749","1","1","16","295697","2","4000","295200","295699","295699","18","15","299696","2","300","295704","299698","299699","17","0","1","0",NA,NA,"15","299996","2","500","299704","299998","299998","17","300240","1","244","1","1","15","300496","-15","3700","299999","304181","304181","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","3","4000","8","D","C","1","White","white.tif","center","50%","7","4","3700","14","304195","3","300","304183","304198","304198","17","14","304495","2","300","304198","304497","304497","16","14","304795","2","500","304498","304797","304798","16","305222","1","427","1","1","14","305295","2","4000","304798","305297","305298","16","14","309295","2","300","305303","309297","309297","16","0","1","0",NA,NA,"14","309595","2","500","309302","309597","309597","16","309962","1","367","1","1","13","310094","-13","3700","309597","313781","313781","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","1","1600","6","M","U","1","White","white.tif","center","50%","19","4","1300","13","313794","2","300","313783","313796","313796","15","13","314094","1","300","313797","314095","314096","14","13","314394","2","500","314096","314396","314396","15","314949","1","555","1","1","13","314894","2","4000","314396","314896","314896","15","12","318893","2","300","314901","318895","318896","14","0","1","0",NA,NA,"12","319193","2","500","318901","319195","319196","14","319503","1","310","1","1","12","319693","-12","1300","319196","320981","320981","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
