"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","PRO1B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PRO1B2SamplingList","TestOrder","PRO1B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","proactive1","1","proactiveBlockList","2","1","19","130990","2","28400","130972","130992","130992","21","14","159385","2","1600","130992","159387","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Letter","1","1","?","1","2","2","?","?","Green","Black","Green","Incentive","0","2","3200","X","6","2400","1","14","160985","2","800","159389","160987","160988","16","14",161785,"2","300","160988","161787","161787","16","14","162085","2","500","161787","162087","162087","16","14","162585","2","4000","162088","162587","162587","16","13","166584","-13","3200","162588","169771","169771","0",167743,1,1159,"1","1","1","13","169784","2","800","169771","169786","169786","15","13","170584","-13","2400","169786","172971","172971","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","2","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","16","3600","2","12","172983","2","800","172973","172985","172986","14","12",173783,"2","300","172986","173785","173785","14","12","174083","2","500","173785","174085","174086","14","12","174583","2","4000","174086","174585","174585","14","11","178582","-11","3200","174586","181771","181771","0",180205,1,1623,"2","2","1","11","181782","2","800","181771","181784","181784","13","11","182582","-11","3600","181785","186171","186171","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2","Even","Consonant","Incongruent","Attend Number","1","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","11","2400","1","10","186181","2","800","186173","186183","186184","12","10",186981,"2","300","186184","186983","186983","12","10","187281","2","500","186983","187283","187283","12","10","187781","2","4000","187284","187783","187783","12","9","191780","-9","3200","187784","194971","194971","0",193290,1,1510,"1","1","1","9","194980","2","800","194971","194982","194982","11","9","195780","-9","2400","194982","198171","198171","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","0","?","?","Green","Black","Green","Incentive","0","1","2000","X","3","1200","1","8","198179","2","800","198173","198181","198182","10","8",198979,"2","300","198182","198981","198981","10","8","199279","2","500","198981","199281","199282","10","8","199779","2","4000","199282","199781","199781","10","7","203778","-7","3200","199782","206971","206971","0",204903,1,1125,"1","1","1","7","206978","2","800","206971","206980","206980","9","7","207778","-7","1200","206981","208971","208971","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","1","0","?","?","Green","Black","Green","Incentive","0","3","4400","X","2","3600","1","23","208994","2","800","208972","208996","208997","25","6",209777,"2","300","208997","209779","209779","8","6","210077","2","500","209779","210079","210080","8","6","210577","2","4000","210080","210579","210580","8","6","214577","-6","3200","210580","217771","217771","0",215666,1,1089,"1","1","1","22","217793","2","800","217771","217795","217795","24","5","218576","-5","3600","217795","222171","222171","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","7","3600","1","21","222192","2","800","222173","222194","222195","23","4",222975,"2","300","222195","222977","222977","6","4","223275","2","500","222977","223277","223278","6","4","223775","2","4000","223278","223777","223778","6","4","227775","-4","3200","223778","230971","230971","0",229075,1,1300,"1","1","1","20","230991","2","800","230971","230993","230993","22","3","231774","-3","3600","230993","235371","235371","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","1","?","?","Green","Black","Green","Incentive","0","1","2000","X","4","1200","1","19","235390","2","800","235373","235392","235392","21","2",236173,"2","300","235393","236175","236175","4","2","236473","2","500","236175","236475","236476","4","2","236973","2","4000","236476","236975","236976","4","1","240972","-1","3200","236976","244171","244171","0",241777,1,805,"1","1","1","18","244189","2","800","244171","244191","244191","20","1","244972","-1","1200","244191","246171","246171","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","14","2400","1","17","246188","2","800","246173","246190","246191","19","0",246971,"2","300","246191","246973","246973","2","0","247271","3","500","246974","247274","247274","3","0","247771","2","4000","247274","247773","247774","2","16","251787","-16","3200","247775","254971","254971","0",253282,1,1495,"1","1","1","16","254987","2","800","254971","254989","254989","18","16","255787","-16","2400","254990","258171","258171","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","2","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","18","1200","2","15","258186","2","800","258172","258188","258189","17","15",258986,"2","300","258189","258988","258988","17","15","259286","2","500","258988","259288","259289","17","15","259786","2","4000","259289","259788","259789","17","14","263785","-14","3200","259789","266971","266971","0",265238,1,1453,"2","2","1","14","266985","2","800","266971","266987","266987","16","14","267785","-14","1200","266988","268971","268971","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130969
