"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ITI","ms","TRs","TestOrder","PRO2B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PRO2B2SamplingList","ToBeIncentivized","PRO2B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","proactive2","8","proactiveBlockList","2","1","21","36230","2","28400","36210","36232","36232","23","16","64625","2","1600","36233","64627","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","1","2","2","?","?","Green","Black","Green","Incentive","3","4400","X","MixTaskINC","3","3600","2","16","66225","2","800","64629","66227","66228","18","16",67025,"2","300","66228","67027","67027","18","16","67325","2","500","67027","67327","67327","18","16","67825","2","4000","67328","67827","67827","18","15","71824","-15","3200","67828","75009","75009","0",72989,1,1165,"2","2","1","15","75024","2","800","75009","75026","75026","17","15","75824","-15","3600","75026","79409","79409","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","2","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC","15","3600","2","14","79423","2","800","79411","79425","79425","16","14",80223,"2","300","79426","80225","80225","16","14","80523","2","500","80225","80525","80525","16","14","81023","2","4000","80525","81025","81025","16","13","85022","-13","3200","81026","88209","88209","0",86720,1,1698,"2","2","1","13","88222","2","800","88209","88224","88224","15","12","89021","-12","3600","88224","92609","92609","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","11","2400","1","12","92621","2","800","92610","92623","92623","14","12",93421,"1","300","92624","93422","93423","13","12","93721","2","500","93423","93723","93723","14","12","94221","2","4000","93723","94223","94223","14","11","98220","-11","3200","94224","101409","101409","0",99372,1,1152,"1","1","1","11","101420","2","800","101409","101422","101422","13","10","102219","-10","2400","101422","104609","104609","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","16","2400","2","10","104619","2","800","104611","104621","104621","12","10",105419,"2","300","104622","105421","105421","12","10","105719","2","500","105421","105721","105721","12","10","106219","2","4000","105721","106221","106221","12","9","110218","-9","3200","106222","113409","113409","0",112089,1,1871,"2","2","1","9","113418","2","800","113409","113420","113420","11","9","114218","-9","2400","113420","116609","116609","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Letter","1","2","?","1","0","0","?","?","Green","Black","Green","Incentive","3","4400","X","MixTaskINC","5","3600","2","25","116634","2","800","116611","116636","116636","27","8",117417,"2","300","116636","117419","117419","10","8","117717","2","500","117419","117719","117719","10","8","118217","2","4000","117720","118219","118219","10","7","122216","-7","3200","118220","125409","125409","0",123647,1,1431,"2","2","1","7","125416","2","800","125409","125418","125418","9","7","126216","-7","3600","125418","129809","129809","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5H","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC","7","1200","2","23","129832","2","800","129811","129834","129834","25","6",130615,"2","300","129834","130617","130617","8","6","130915","2","500","130617","130917","130917","8","6","131415","2","4000","130918","131417","131417","8","5","135414","-5","3200","131418","138609","138609","0",137069,1,1655,"2","2","1","21","138630","3","800","138609","138633","138633","24","5","139414","-5","1200","138633","140609","140609","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC","14","1200","1","21","140630","2","800","140610","140632","140633","23","4",141413,"2","300","140633","141415","141415","6","4","141713","2","500","141415","141715","141716","6","4","142213","2","4000","141716","142215","142216","6","3","146212","-3","3200","142216","149409","149409","0",148068,1,1856,"1","1","1","20","149429","2","800","149409","149431","149431","22","3","150212","-3","1200","149431","151409","151409","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","10","2400","2","19","151428","2","800","151410","151430","151431","21","2",152211,"2","300","151431","152213","152213","4","2","152511","3","500","152214","152514","152514","5","2","153011","3","4000","152514","153014","153014","5","2","157011","-2","3200","153014","160209","160209","0",157808,1,797,"2","2","1","18","160227","2","800","160209","160229","160229","20","1","161010","-1","2400","160230","163409","163409","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Letter","1","1","?","1","0","0","?","?","Green","Black","Green","Incentive","1","2000","X","MixTaskINC","6","1200","1","17","163426","2","800","163410","163428","163429","19","1",164210,"1","300","163429","164211","164211","2","1","164510","2","500","164212","164512","164512","3","0","165009","3","4000","164512","165012","165012","3","0","169009","0","3200","165013","172209","172209","0",169955,1,946,"1","1","1","16","172225","2","800","172209","172227","172228","18","16","173025","-16","1200","172228","174209","174209","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
