"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","ListLen","NumTrials","ProbePos","TopN","w1","w2","w3","w4","w5","w6","w7","w8","probe","correct","ITI","ms","TRs","PRO1SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","List1Slide.OnsetDelay","List1Slide.OnsetTime","List1Slide.DurationError","List1Slide.Duration","List1Slide.StartTime","List1Slide.OffsetTime","List1Slide.FinishTime","List1Slide.OffsetDelay","List2Slide.OnsetDelay","List2Slide.OnsetTime","List2Slide.DurationError","List2Slide.Duration","List2Slide.StartTime","List2Slide.OffsetTime","List2Slide.FinishTime","List2Slide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","proactive1","2","proactiveBlockList","2","1","12","103316","3","28400","103305","103319","103319","15","8","131712","2","1600","103319","131714","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",2,"2","1","2","match","cheek",NA,NA,NA,NA,NA,NA,"vision","1","3","4000","12","1","3200","8","133312","2","500","131716","133314","133314","10","8",133812,"1","300","133314","133813","133813","9","8","134112","2","2400","133814","134114","134114","10","7","136511","2","2400","134114","136513","136514","9","7","138911","2","4000","136514","138913","138913","9","6","142910","2","1600","138914","142912","142913","8",144131,1,1221,1,"1","6","144510","-6","3200","142913","147704","147704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","2","3","hair","park","flavor",NA,"rebel","bars",NA,NA,"park","2","1","1600","10","2","800","22","147726","2","500","147705","147728","147729","24","5",148209,"2","300","147729","148211","148211","7","5","148509","2","2400","148211","148511","148512","7","5","150909","2","2400","148512","150911","150911","7","5","153309","2","4000","150912","153311","153311","7","4","157308","2","1600","153312","157310","157311","6",158648,1,1340,2,"2","4","158908","-4","800","157311","159704","159704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",4,"1","4","3","empire","future","meal",NA,"peak",NA,NA,NA,"idea","1","2","2800","11","3","2000","20","159724","2","500","159705","159726","159727","22","3",160207,"2","300","159727","160209","160209","5","3","160507","3","2400","160210","160510","160510","6","3","162907","2","2400","160510","162909","162910","5","3","165307","2","4000","162910","165309","165309","5","2","169306","2","1600","165310","169308","169309","4",170444,1,1138,1,"1","2","170906","-2","2000","169309","172904","172904","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","4","3","snail","cafe","voice",NA,"boiler","stance",NA,NA,"boiler","2","2","2800","11","4","2000","18","172922","2","500","172905","172924","172925","20","1",173405,"2","300","172925","173407","173407","3","1","173705","2","2400","173407","173707","173708","3","1","176105","2","2400","173708","176107","176107","3","1","178505","2","4000","176108","178507","178507","3","0","182504","2","1600","178508","182506","182506","2",183388,1,884,2,"2","0","184104","0","2000","182507","186104","186104","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",3,"2","2","3","beaver","ranch","owner",NA,NA,NA,NA,NA,"ranch","2","3","4000","12","5","3200","16","186120","2","500","186105","186122","186123","18","16",186620,"2","300","186123","186622","186622","18","16","186920","2","2400","186622","186922","186922","18","16","189320","2","2400","186923","189322","189322","18","15","191719","2","4000","189322","191721","191722","17","15","195719","2","1600","191722","195721","195721","17",196748,1,1029,2,"2","14","197318","-14","3200","195721","200504","200504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","2","3","coward","note","poll",NA,"worm","scrap",NA,NA,"deed","1","3","4000","12","6","3200","14","200518","2","500","200505","200520","200520","16","14",201018,"1","300","200520","201019","201020","15","14","201318","2","2400","201020","201320","201320","16","13","203717","2","2400","201320","203719","203720","15","13","206117","2","4000","203720","206119","206119","15","12","210116","2","1600","206120","210118","210119","14",211194,1,1078,1,"1","12","211716","-12","3200","210119","214904","214904","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",2,"2","2","2","jars","rest",NA,NA,NA,NA,NA,NA,"access","1","2","2800","11","7","2000","11","214915","3","500","214905","214918","214918","14","11",215415,"2","300","214918","215417","215417","13","11","215715","2","2400","215418","215717","215718","13","11","218115","2","2400","215718","218117","218117","13","11","220515","2","4000","218118","220517","220517","13","10","224514","2","1600","220518","224516","224516","12",225575,1,1061,1,"1","10","226114","-10","2000","224517","228104","228104","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",4,"1","1","3","ways","teeth","payoff",NA,"keeper",NA,NA,NA,"ways","2","3","4000","12","8","3200","9","228113","2","500","228105","228115","228116","11","9",228613,"2","300","228116","228615","228615","11","9","228913","2","2400","228615","228915","228916","11","9","231313","2","2400","228916","231315","231315","11","9","233713","2","4000","231316","233715","233715","11","8","237712","2","1600","233716","237714","237714","10",238890,1,1178,2,"2","8","239312","-8","3200","237715","242504","242504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",5,"1","1","3","retail","ideals","pulse",NA,"plug","puppet",NA,NA,"keeper","1","1","1600","10","9","800","24","242528","2","500","242505","242530","242530","26","7",243011,"2","300","242531","243013","243013","9","7","243311","2","2400","243013","243313","243313","9","7","245711","2","2400","243314","245713","245713","9","6","248110","2","4000","245713","248112","248113","8","6","252110","2","1600","248113","252112","252112","8",252998,1,888,1,"1","5","253709","-5","800","252112","254504","254504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
