"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",1.03,1.03,0.996,0.986,0.996,0.986
"MI","InCon",0.923,0.923,0.884,0.785,0.884,0.785
"MI","InCon",1.03,1.03,0.996,0.984,0.996,0.984
"MI","InCon",1.06,1.06,0.946,0.905,0.946,0.905
"PC50","Con",0.87,0.87,0.771,0.751,0.771,0.751
"MI","InCon",0.873,0.873,0.841,0.831,0.841,0.831
"MI","Con",0.864,0.864,0.83,0.818,0.83,0.818
"PC50","InCon",0.874,0.874,0.839,0.823,0.839,0.823
"MI","InCon",1.179,1.179,1.073,1.032,1.073,1.032
"MI","Con",1.023,1.023,0.988,0.859,0.988,0.859
"MI","InCon",0.955,0.955,0.922,0.905,0.922,0.905
"PC50","InCon",0.85,0.85,0.807,0.792,0.807,0.792
"MI","Con",0.867,0.867,0.833,0.821,0.833,0.821
"PC50","Con",0.981,0.981,0.948,0.937,0.948,0.937
"PC50","InCon",0.985,0.985,0.948,0.93,0.948,0.93
"MI","InCon",0.938,0.938,0.895,0.873,0.895,0.873
"MI","InCon",1.141,1.141,1.107,1.094,1.107,1.094
"MI","InCon",0.919,0.919,0.886,0.876,0.886,0.876
"MI","Con",0.807,0.807,0.772,0.758,0.772,0.758
"PC50","Con",0.98,0.98,0.945,0.924,0.945,0.924
"MI","InCon",1.109,1.109,1.073,1.01,1.073,1.01
"MI","InCon",1.028,1.028,0.994,0.981,0.994,0.981
"PC50","InCon",1.172,1.172,1.135,1.078,1.135,1.078
"PC50","InCon",1.135,1.135,1.1,1.086,1.1,1.086
"MI","Con",1.014,1.014,0.969,0.933,0.969,0.933
"MI","InCon",1.12,1.12,1.014,0.986,1.014,0.986
"PC50","InCon",1.067,1.067,1.005,0.958,1.005,0.958
"MI","InCon",0.948,0.948,0.908,0.867,0.908,0.867
"MI","InCon",1.123,1.123,0.947,0.924,0.947,0.924
"MI","InCon",1.257,1.257,1.211,1.19,1.211,1.19
"PC50","Con",0.914,0.914,0.877,0.862,0.877,0.862
"PC50","Con",1.099,1.099,1.063,1.038,1.063,1.038
"PC50","Con",1.122,1.122,0.969,0.946,0.969,0.946
"MI","Con",1.123,1.123,0.975,0.933,0.975,0.933
"MI","InCon",1.054,1.054,1.02,1.008,1.02,1.008
"MI","InCon",1.081,1.081,1.033,1.009,1.033,1.009
"MI","InCon",0.986,0.986,0.945,0.913,0.945,0.913
"MI","Con",0.992,0.992,0.955,0.938,0.955,0.938
"MI","InCon",0.931,0.931,0.895,0.881,0.895,0.881
"MI","Con",0.916,0.916,0.881,0.862,0.881,0.862
"MI","Con",1.021,1.021,0.944,0.919,0.944,0.919
"MI","InCon",1.217,1.217,1.183,1.169,1.183,1.169
"MI","Con",0.817,0.817,0.782,0.768,0.782,0.768
"MI","InCon",0.899,0.899,0.866,0.853,0.866,0.853
"MI","InCon",1.356,1.356,1.324,1.313,1.324,1.313
"PC50","Con",0.871,0.871,0.837,0.829,0.837,0.829
"MI","InCon",0.969,0.969,0.936,0.925,0.936,0.925
"PC50","InCon",0.965,0.965,0.925,0.911,0.925,0.911
"MI","InCon",1.23,1.23,1.083,1.042,1.083,1.042
"PC50","InCon",0.977,0.977,0.942,0.923,0.942,0.923
"PC50","InCon",0.938,0.938,0.898,0.839,0.898,0.839
"MI","Con",1.03,1.03,0.954,0.935,0.954,0.935
"MI","InCon",1.268,1.268,1.233,1.214,1.233,1.214
"PC50","InCon",1.1,1.1,1.066,1.056,1.066,1.056
"MI","InCon",1.229,1.229,1.187,1.134,1.187,1.134
