"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","PRO1SamplingList","MiInConPro1","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro1","MiConPro1","PC50InConPro1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","proactive1","3","proactiveBlockList","2","1","22","49643","2","28400","49622","49645","49645","24","17","78038","2","1600","49645","78040","0","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","purple","purple","2","10","132017_proactive_StroopPro_run1_AudioRecord-1.wav","900","0","79621","2","300","78042","79623","79624","2","0",79921,"2","300","79624","79923","79923","2","132017_proactive_StroopPro_run1_AudioRecord-1.wav","0","80221","3","100","79923","80224","80224","3","0","80321","2","2000","80225","80323","80324","2","0","82321","0","900","80324","83221","83221","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","blue","blue","2","4","132017_proactive_StroopPro_run1_AudioRecord-2.wav","900","33","83254","2","300","83231","83256","83257","35","0",83521,"1","300","83257","83522","83522","1","132017_proactive_StroopPro_run1_AudioRecord-2.wav","0","83821","2","100","83523","83823","83824","2","0","83921","2","2000","83824","83923","83923","2","16","85937","-16","900","83923","86821","86821","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MI","purple","purple","2","12","132017_proactive_StroopPro_run1_AudioRecord-3.wav","3300","16","86837","2","300","86829","86839","86840","18","16",87137,"1","300","86840","87138","87139","17","132017_proactive_StroopPro_run1_AudioRecord-3.wav","16","87437","2","100","87139","87439","87440","18","16","87537","2","2000","87440","87539","87539","18","15","89536","-15","3300","87539","92821","92821","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","blue","blue","2","4","132017_proactive_StroopPro_run1_AudioRecord-4.wav","2100","15","92836","2","300","92827","92838","92839","17","15",93136,"1","300","92839","93137","93138","16","132017_proactive_StroopPro_run1_AudioRecord-4.wav","15","93436","3","100","93138","93439","93439","18","15","93536","2","2000","93439","93538","93538","17","14","95535","-14","2100","93539","97621","97621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","Con","PC50","black","black","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-5.wav","3300","14","97635","3","300","97627","97638","97638","17","14",97935,"2","300","97638","97937","97937","16","132017_proactive_StroopPro_run1_AudioRecord-5.wav","14","98235","3","100","97937","98238","98238","17","14","98335","2","2000","98238","98337","98337","16","14","100335","-14","3300","98338","103621","103621","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","white","white","2","8","132017_proactive_StroopPro_run1_AudioRecord-6.wav","3300","13","103634","3","300","103627","103637","103637","16","13",103934,"2","300","103637","103936","103936","15","132017_proactive_StroopPro_run1_AudioRecord-6.wav","13","104234","3","100","103936","104237","104237","16","13","104334","2","2000","104237","104336","104337","15","13","106334","-13","3300","104337","109621","109621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MI","purple","purple","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-7.wav","2100","29","109650","2","300","109627","109652","109652","31","12",109933,"2","300","109652","109935","109935","14","132017_proactive_StroopPro_run1_AudioRecord-7.wav","12","110233","3","100","109935","110236","110236","15","12","110333","2","2000","110237","110335","110336","14","12","112333","-12","2100","110336","114421","114421","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","yellow","yellow","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-8.wav","900","28","114449","2","300","114427","114451","114451","30","11",114732,"2","300","114452","114734","114734","13","132017_proactive_StroopPro_run1_AudioRecord-8.wav","11","115032","3","100","114734","115035","115036","14","11","115132","2","2000","115036","115134","115135","13","11","117132","-11","900","115135","118021","118021","0",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MI","blue","blue","2","5","132017_proactive_StroopPro_run1_AudioRecord-9.wav","3300","27","118048","3","300","118031","118051","118051","30","11",118332,"1","300","118051","118333","118334","12","132017_proactive_StroopPro_run1_AudioRecord-9.wav","11","118632","3","100","118334","118635","118635","14","11","118732","2","2000","118635","118734","118734","13","10","120731","-10","3300","118735","124021","124021","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MI","blue","blue","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-10.wav","2100","27","124048","2","300","124027","124050","124050","29","10",124331,"1","300","124050","124332","124333","11","132017_proactive_StroopPro_run1_AudioRecord-10.wav","10","124631","3","100","124333","124634","124634","13","10","124731","2","2000","124634","124733","124733","12","9","126730","-9","2100","124734","128821","128821","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","InCon","MI","purple","purple","2","12","132017_proactive_StroopPro_run1_AudioRecord-11.wav","2100","26","128847","2","300","128827","128849","128849","28","9",129130,"2","300","128849","129132","129132","11","132017_proactive_StroopPro_run1_AudioRecord-11.wav","9","129430","3","100","129132","129433","129433","12","9","129530","2","2000","129433","129532","129533","11","9","131530","-9","2100","129533","133621","133621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","pink","255,105,180","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-12.wav","900","25","133646","2","300","133627","133648","133648","27","8",133929,"2","300","133649","133931","133931","10","132017_proactive_StroopPro_run1_AudioRecord-12.wav","8","134229","3","100","133931","134232","134232","11","8","134329","3","2000","134233","134332","134332","11","8","136329","-8","900","134332","137221","137221","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","Con","MI","purple","purple","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-13.wav","900","24","137245","3","300","137228","137248","137248","27","8",137529,"1","300","137248","137530","137531","9","132017_proactive_StroopPro_run1_AudioRecord-13.wav","8","137829","2","100","137531","137831","137832","10","8","137929","2","2000","137832","137931","137931","10","7","139928","-7","900","137932","140821","140821","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","GREEN","Con","PC50","green","green","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-14.wav","3300","24","140845","2","300","140837","140847","140848","26","7",141128,"2","300","140848","141130","141130","9","132017_proactive_StroopPro_run1_AudioRecord-14.wav","7","141428","3","100","141130","141431","141431","10","7","141528","2","2000","141432","141530","141531","9","7","143528","-7","3300","141531","146821","146821","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","InCon","PC50","black","black","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-15.wav","3300","23","146844","2","300","146828","146846","146846","25","6",147127,"2","300","146847","147129","147129","8","132017_proactive_StroopPro_run1_AudioRecord-15.wav","6","147427","3","100","147129","147430","147430","9","6","147527","2","2000","147431","147529","147530","8","6","149527","-6","3300","147530","152821","152821","0",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","white","white","2","7","132017_proactive_StroopPro_run1_AudioRecord-16.wav","2100","22","152843","2","300","152827","152845","152845","24","5",153126,"2","300","152846","153128","153128","7","132017_proactive_StroopPro_run1_AudioRecord-16.wav","5","153426","3","100","153128","153429","153430","8","5","153526","2","2000","153430","153528","153529","7","5","155526","-5","2100","153529","157621","157621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","InCon","MI","white","white","2","9","132017_proactive_StroopPro_run1_AudioRecord-17.wav","2100","21","157642","2","300","157627","157644","157645","23","5",157926,"1","300","157645","157927","157927","6","132017_proactive_StroopPro_run1_AudioRecord-17.wav","4","158225","3","100","157928","158228","158229","7","4","158325","3","2000","158229","158328","158328","7","4","160325","-4","2100","158328","162421","162421","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","purple","purple","2","11","132017_proactive_StroopPro_run1_AudioRecord-18.wav","3300","20","162441","3","300","162427","162444","162444","23","4",162725,"1","300","162444","162726","162727","5","132017_proactive_StroopPro_run1_AudioRecord-18.wav","4","163025","3","100","162727","163028","163028","7","4","163125","2","2000","163028","163127","163127","6","3","165124","-3","3300","163128","168421","168421","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MI","white","white","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-19.wav","2100","20","168441","2","300","168427","168443","168443","22","3",168724,"1","300","168443","168725","168726","4","132017_proactive_StroopPro_run1_AudioRecord-19.wav","3","169024","3","100","168726","169027","169027","6","3","169124","2","2000","169027","169126","169126","5","2","171123","-2","2100","169127","173221","173221","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","Con","PC50","yellow","yellow","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-20.wav","2100","19","173240","2","300","173227","173242","173242","21","2",173523,"2","300","173242","173525","173525","4","132017_proactive_StroopPro_run1_AudioRecord-20.wav","2","173823","3","100","173525","173826","173826","5","2","173923","2","2000","173826","173925","173926","4","2","175923","-2","2100","173926","178021","178021","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","InCon","MI","red","red","2","2","132017_proactive_StroopPro_run1_AudioRecord-21.wav","900","18","178039","2","300","178027","178041","178042","20","1",178322,"2","300","178042","178324","178324","3","132017_proactive_StroopPro_run1_AudioRecord-21.wav","1","178622","3","100","178324","178625","178625","4","1","178722","2","2000","178626","178724","178725","3","1","180722","-1","900","178725","181621","181621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","red","red","2","3","132017_proactive_StroopPro_run1_AudioRecord-22.wav","900","17","181638","3","300","181631","181641","181641","20","1",181922,"1","300","181641","181923","181924","2","132017_proactive_StroopPro_run1_AudioRecord-22.wav","1","182222","3","100","181924","182225","182225","4","1","182322","2","2000","182225","182324","182324","3","0","184321","0","900","182324","185221","185221","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","InCon","PC50","green","green","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-23.wav","900","84","185305","3","300","185291","185308","185308","87","0",185521,"2","300","185309","185523","185523","2","132017_proactive_StroopPro_run1_AudioRecord-23.wav","0","185821","3","100","185524","185824","185824","3","0","185921","2","2000","185825","185923","185923","2","0","187921","0","900","185924","188821","188821","0",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","InCon","PC50","pink","255,105,180","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-24.wav","3300","16","188837","3","300","188830","188840","188840","19","0",189121,"1","300","188840","189122","189122","1","132017_proactive_StroopPro_run1_AudioRecord-24.wav","0","189421","2","100","189123","189423","189424","2","16","189537","2","2000","189424","189539","189540","18","16","191537","-16","3300","189540","194821","194821","0",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MI","blue","blue","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-25.wav","2100","15","194836","3","300","194827","194839","194839","18","15",195136,"2","300","194839","195138","195138","17","132017_proactive_StroopPro_run1_AudioRecord-25.wav","15","195436","3","100","195138","195439","195439","18","15","195536","3","2000","195440","195539","195539","18","15","197536","-15","2100","195539","199621","199621","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","blue","blue","2","6","132017_proactive_StroopPro_run1_AudioRecord-26.wav","900","15","199636","2","300","199627","199638","199638","17","15",199936,"1","300","199638","199937","199937","16","132017_proactive_StroopPro_run1_AudioRecord-26.wav","14","200235","3","100","199938","200238","200239","17","14","200335","3","2000","200239","200338","200338","17","14","202335","-14","900","200338","203221","203221","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","InCon","PC50","black","black","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-27.wav","3300","31","203252","2","300","203234","203254","203254","33","14",203535,"2","300","203254","203537","203537","16","132017_proactive_StroopPro_run1_AudioRecord-27.wav","14","203835","3","100","203537","203838","203838","17","14","203935","2","2000","203838","203937","203938","16","14","205935","-14","3300","203938","209221","209221","0",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
