"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConPro2","PRO2SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro2","MiConPro2","PC50InConPro2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","proactive2","11","proactiveBlockList","2","1","8","29264","2","28400","29257","29266","29266","10","3","57659","2","1600","29267","57661","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","purple","purple","10","2","132017_proactive_StroopPro_run2_AudioRecord-1.wav","900","3","59259","2","300","57663","59261","59262","5","3",59559,"2","300","59262","59561","59561","5","132017_proactive_StroopPro_run2_AudioRecord-1.wav","3","59859","3","100","59561","59862","59862","6","3","59959","2","2000","59863","59961","59962","5","3","61959","-3","900","59962","62856","62856","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLACK","Con","PC50","black","black",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-2.wav","2100","36","62892","2","300","62869","62894","62894","38","3",63159,"1","300","62894","63160","63160","4","132017_proactive_StroopPro_run2_AudioRecord-2.wav","2","63458","3","100","63161","63461","63462","5","2","63558","3","2000","63462","63561","63561","5","2","65558","-2","2100","63561","67656","67656","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","white","white","9","2","132017_proactive_StroopPro_run2_AudioRecord-3.wav","3300","18","67674","3","300","67662","67677","67677","21","2",67958,"1","300","67677","67959","67960","3","132017_proactive_StroopPro_run2_AudioRecord-3.wav","2","68258","3","100","67960","68261","68261","5","2","68358","2","2000","68261","68360","68360","4","1","70357","-1","3300","68361","73656","73656","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","Con","PC50","pink","255,105,180",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-4.wav","3300","18","73674","2","300","73662","73676","73676","20","1",73957,"1","300","73676","73958","73959","2","132017_proactive_StroopPro_run2_AudioRecord-4.wav","1","74257","3","100","73959","74260","74260","4","1","74357","2","2000","74260","74359","74359","3","0","76356","0","3300","74360","79656","79656","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-5.wav","2100","17","79673","2","300","79662","79675","79675","19","0",79956,"1","300","79675","79957","79958","1","132017_proactive_StroopPro_run2_AudioRecord-5.wav","0","80256","3","100","79958","80259","80259","3","0","80356","2","2000","80259","80358","80358","2","16","82372","-16","2100","80358","84456","84456","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","Con","MI","white","white",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-6.wav","3300","66","84522","2","300","84500","84524","84524","68","16",84772,"1","300","84524","84773","84774","17","132017_proactive_StroopPro_run2_AudioRecord-6.wav","16","85072","3","100","84774","85075","85075","19","16","85172","2","2000","85075","85174","85174","18","15","87171","-15","3300","85175","90456","90456","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-7.wav","900","15","90471","2","300","90462","90473","90474","17","15",90771,"1","300","90474","90772","90773","16","132017_proactive_StroopPro_run2_AudioRecord-7.wav","15","91071","3","100","90773","91074","91074","18","15","91171","2","2000","91074","91173","91173","17","14","93170","-14","900","91174","94056","94056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","white","white","7","2","132017_proactive_StroopPro_run2_AudioRecord-8.wav","900","31","94087","2","300","94071","94089","94089","33","14",94370,"2","300","94090","94372","94372","16","132017_proactive_StroopPro_run2_AudioRecord-8.wav","14","94670","3","100","94372","94673","94674","17","14","94770","2","2000","94674","94772","94773","16","14","96770","-14","900","94773","97656","97656","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","12","proactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","Con","MI","purple","purple",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-9.wav","900","47","97703","3","300","97695","97706","97706","50","14",97970,"2","300","97706","97972","97972","16","132017_proactive_StroopPro_run2_AudioRecord-9.wav","14","98270","2","100","97972","98272","98273","16","14","98370","2","2000","98273","98372","98372","16","13","100369","-13","900","98373","101256","101256","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
