"Procedure","RunNumberFilterValue","reactiveBlockList","Running","reactiveBlockList.Cycle","reactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConRea1","REA1SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McConRea1","MiConRea1","PC50InConRea1","PC50ConRea1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","reactive1","3","reactiveBlockList","2","1","19","55995","2","28400","55977","55997","55998","21","15","84391","2","1600","55998","84393","0","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","white","white","1","1","132017_reactive_StroopRea_run1_AudioRecord-1.wav","2100","15","85991","2","300","84395","85993","85993","17","15",86291,"1","300","85993","86292","86293","16","132017_reactive_StroopRea_run1_AudioRecord-1.wav","15","86591","3","100","86293","86594","86594","18","15","86691","2","2000","86595","86693","86693","17","14","88690","-14","2100","86693","90776","90776","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-2.wav","900","114","90890","2","300","90864","90892","90893","116","14",91090,"2","300","90893","91092","91092","16","132017_reactive_StroopRea_run1_AudioRecord-2.wav","14","91390","3","100","91092","91393","91393","17","14","91490","2","2000","91394","91492","91492","16","13","93489","-13","900","91493","94376","94376","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","Con","MI","purple","purple",NA,"2","132017_reactive_StroopRea_run1_AudioRecord-3.wav","900","30","94406","3","300","94389","94409","94409","33","13",94689,"2","300","94409","94691","94691","15","132017_reactive_StroopRea_run1_AudioRecord-3.wav","13","94989","3","100","94691","94992","94993","16","13","95089","2","2000","94993","95091","95092","15","13","97089","-13","900","95092","97976","97976","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","yellow","yellow",NA,"4","132017_reactive_StroopRea_run1_AudioRecord-4.wav","900","29","98005","3","300","97988","98008","98008","32","13",98289,"1","300","98008","98290","98291","14","132017_reactive_StroopRea_run1_AudioRecord-4.wav","13","98589","3","100","98291","98592","98592","16","13","98689","2","2000","98592","98691","98691","15","12","100688","-12","900","98691","101576","101576","0",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","GREEN","Con","PC50","green","green",NA,"3","132017_reactive_StroopRea_run1_AudioRecord-5.wav","2100","29","101605","2","300","101587","101607","101607","31","12",101888,"2","300","101608","101890","101890","14","132017_reactive_StroopRea_run1_AudioRecord-5.wav","12","102188","3","100","101890","102191","102191","15","12","102288","2","2000","102192","102290","102291","14","12","104288","-12","2100","102291","106376","106376","0",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","InCon","MI","purple","purple","6","1","132017_reactive_StroopRea_run1_AudioRecord-6.wav","2100","28","106404","2","300","106382","106406","106407","30","11",106687,"2","300","106407","106689","106689","13","132017_reactive_StroopRea_run1_AudioRecord-6.wav","11","106987","3","100","106690","106990","106991","14","11","107087","3","2000","106991","107090","107090","14","11","109087","-11","2100","107090","111176","111176","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MC","red","red",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-7.wav","2100","27","111203","2","300","111182","111205","111206","29","11",111487,"1","300","111206","111488","111489","12","132017_reactive_StroopRea_run1_AudioRecord-7.wav","11","111787","2","100","111489","111789","111790","13","11","111887","2","2000","111790","111889","111889","13","10","113886","-10","2100","111889","115976","115976","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-8.wav","3300","43","116019","2","300","116007","116021","116022","45","10",116286,"2","300","116022","116288","116288","12","132017_reactive_StroopRea_run1_AudioRecord-8.wav","10","116586","3","100","116288","116589","116589","13","10","116686","2","2000","116589","116688","116688","12","10","118686","-10","3300","116689","121976","121976","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","white","white","3","1","132017_reactive_StroopRea_run1_AudioRecord-9.wav","3300","26","122002","2","300","121982","122004","122004","28","9",122285,"2","300","122004","122287","122287","11","132017_reactive_StroopRea_run1_AudioRecord-9.wav","9","122585","3","100","122287","122588","122588","12","9","122685","2","2000","122589","122687","122688","11","9","124685","-9","3300","122688","127976","127976","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","4","reactiveBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","purple","purple","5","1","132017_reactive_StroopRea_run1_AudioRecord-10.wav","3300","25","128001","2","300","127983","128003","128003","27","8",128284,"2","300","128003","128286","128286","10","132017_reactive_StroopRea_run1_AudioRecord-10.wav","8","128584","3","100","128286","128587","128587","11","8","128684","2","2000","128587","128686","128686","10","8","130684","-8","3300","128687","133976","133976","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
