"Procedure","RunNumberFilterValue","reactiveBlockList","Running","reactiveBlockList.Cycle","reactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","REA2SamplingList","MiInConRea2","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50InConRea2","MiConRea2","McConRea2","PC50ConRea2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","reactive2","11","reactiveBlockList","2","1","16","28702","2","28400","28687","28704","28704","18","11","57097","3","1600","28705","57100","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","purple","purple","1","5","132017_reactive_StroopRea_run2_AudioRecord-1.wav","2100","11","58697","2","300","57101","58699","58700","13","11",58997,"2","300","58700","58999","58999","13","132017_reactive_StroopRea_run2_AudioRecord-1.wav","11","59297","3","100","58999","59300","59300","14","11","59397","2","2000","59301","59399","59400","13","11","61397","-11","2100","59400","63486","63486","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","InCon","PC50","pink","255,105,180","4",NA,"132017_reactive_StroopRea_run2_AudioRecord-2.wav","2100","44","63530","2","300","63513","63532","63532","46","10",63796,"2","300","63532","63798","63798","12","132017_reactive_StroopRea_run2_AudioRecord-2.wav","10","64096","3","100","63799","64099","64100","13","10","64196","3","2000","64100","64199","64199","13","10","66196","-10","2100","64199","68286","68286","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MI","purple","purple","2",NA,"132017_reactive_StroopRea_run2_AudioRecord-3.wav","2100","43","68329","2","300","68314","68331","68332","45","10",68596,"1","300","68332","68597","68598","11","132017_reactive_StroopRea_run2_AudioRecord-3.wav","10","68896","2","100","68598","68898","68899","12","10","68996","2","2000","68899","68998","68998","12","9","70995","-9","2100","68998","73086","73086","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue","5",NA,"132017_reactive_StroopRea_run2_AudioRecord-4.wav","900","26","73112","2","300","73093","73114","73114","28","9",73395,"1","300","73114","73396","73397","10","132017_reactive_StroopRea_run2_AudioRecord-4.wav","9","73695","3","100","73397","73698","73698","12","9","73795","2","2000","73698","73797","73797","11","8","75794","-8","900","73798","76686","76686","0",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue","5",NA,"132017_reactive_StroopRea_run2_AudioRecord-5.wav","3300","25","76711","2","300","76694","76713","76713","27","8",76994,"2","300","76714","76996","76996","10","132017_reactive_StroopRea_run2_AudioRecord-5.wav","8","77294","3","100","76996","77297","77298","11","8","77394","2","2000","77298","77396","77397","10","8","79394","-8","3300","77397","82686","82686","0",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","white","white","1","1","132017_reactive_StroopRea_run2_AudioRecord-6.wav","900","24","82710","2","300","82693","82712","82713","26","7",82993,"2","300","82713","82995","82995","9","132017_reactive_StroopRea_run2_AudioRecord-6.wav","7","83293","3","100","82995","83296","83297","10","7","83393","2","2000","83297","83395","83396","9","7","85393","-7","900","83396","86286","86286","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MI","white","white","1","2","132017_reactive_StroopRea_run2_AudioRecord-7.wav","900","23","86309","3","300","86302","86312","86312","26","7",86593,"1","300","86312","86594","86595","8","132017_reactive_StroopRea_run2_AudioRecord-7.wav","7","86893","3","100","86595","86896","86896","10","7","86993","2","2000","86896","86995","86995","9","6","88992","-6","900","86996","89886","89886","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MI","white","white","2",NA,"132017_reactive_StroopRea_run2_AudioRecord-8.wav","2100","73","89959","2","300","89936","89961","89961","75","6",90192,"2","300","89962","90194","90194","8","132017_reactive_StroopRea_run2_AudioRecord-8.wav","6","90492","3","100","90194","90495","90496","9","6","90592","2","2000","90496","90594","90595","8","6","92592","-6","2100","90595","94686","94686","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
"StroopTrialPROC","reactive2","12","reactiveBlockList","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","white","white","1","3","132017_reactive_StroopRea_run2_AudioRecord-9.wav","3300","22","94708","2","300","94693","94710","94711","24","5",94991,"2","300","94711","94993","94993","7","132017_reactive_StroopRea_run2_AudioRecord-9.wav","5","95291","3","100","94994","95294","95295","8","5","95391","3","2000","95295","95394","95394","8","5","97391","-5","3300","95394","100686","100686","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28676
