CorrectColor,Listener.1,Listener.2,Response.Final,ACC.Final
white,red,red,red,0
black,black,black,black,1
red,red,red,red,1
red,red,red,red,1
pink,purple,purple,purple,0
green,green,green,green,1
purple,purple,purple,purple,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
green,green,green,green,1
purple,purple,purple,purple,1
blue,blue,blue,blue,1
white,white,white,white,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
white,white,white,white,1
purple,purple,purple,purple,1
black,black,black,black,1
purple,purple,purple,purple,1
purple,purple,purple,purple,1
yellow,yellow,yellow,yellow,1
purple,purple,purple,purple,1
red,red,red,red,1
white,white,white,white,1
red,red,red,red,1
red,red,red,red,1
blue,blue,blue,blue,1
green,green- not enunciated well,green,green,1
blue,blue,blue,blue,1
pink,pink,pink,pink,1
purple,purple,purple,purple,1
yellow,yellow,yellow,yellow,1
pink,pink,pink,pink,1
black,black,black,black,1
yellow,yellow,yellow,yellow,1
white,black,black,black,0
blue,no-response,no-response,,no-response
black,black,black,black,1
blue,blue,blue,blue,1
red,red,red,red,1
white,white,white,white,1
white,white,white,white,1
pink,pink,pink,pink,1
pink,pink,pink,pink,1
purple,purple,purple,purple,1
black,black,black,black,1
red,red,red,red,1
purple,purple,purple,purple,1
pink,pink,pink,pink,1
purple,purple,purple,purple,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
white,white,white (not clear),white,1
yellow,yellow,yellow,yellow,1
purple,purple,purple,purple,1
blue,no-response,no-response,,no-response
white,white,black (could be white),white,1
black,black,black,black,1
green,green,green,green,1
blue,blue,unintelligible (could be blue),blue,1
red,blue- could be red,blue (probably yawn),blue,0
green,green,green,green,1
yellow,yellow,yellow,yellow,1
white,white,white,white,1
green,green- could be blue,pink (could be green/blue),,unintelligible
purple,purple,purple,purple,1
yellow,yellow,yellow,yellow,1
blue,blue,blue,blue,1
red,red,red,red,1
purple,purple,purple,purple,1
purple,purple,purple,purple,1
red,red,red,red,1
blue,blue,blue,blue,1
white,white,white,white,1
purple,purple,purple,purple,1
green,green,green,green,1
pink,pink,pink,pink,1
white,white,white,white,1
green,green,green,green,1
black,black,black,black,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
purple,purple,purple,purple,1
yellow,yellow,yellow,yellow,1
red,red,red,red,1
red,red,red,red,1
blue,blue,blue,blue,1
pink,pink,pink,pink,1
red,red,red,red,1
black,black,black,black,1
white,white,white,white,1
blue,blue,blue,blue,1
green,green,pink (not clear),green,1
pink,yellow,yellow,yellow,0
blue,blue,blue,blue,1
purple,purple,purple,purple,1
black,black,black,black,1
red,red,red,red,1
white,white,white,white,1
purple,purple,purple,purple,1
yellow,yellow,yellow,yellow,1
white,white,white,white,1
purple,red,red,red,0
yellow,yellow,yellow,yellow,1
purple,purple,purple,purple,1
purple,purple,purple,purple,1
red,red,red,red,1
blue,purple,purple,purple,0
purple,purple,purple,purple,1
red,red,red,red,1
purple,purple,purple,purple,1
white,white,white,white,1
black,black- yawned while speaking,black (probably yawned),black,1
black,black,black,black,1
blue,blue,blue,blue,1
red,red,red,red,1
blue,blue,blue,blue,1
pink,pink- faint,pink,pink,1
blue,blue,blue,blue,1
red,red,red,red,1
pink,pink,pink,pink,1
green,green,green,green,1
green,no-response,no-response,,no-response
white,red,red,red,0
white,white,white,white,1
white,white,white,white,1
blue,blue,blue,blue,1
yellow,yellow,yellow,yellow,1
purple,purple- distorted,purple,purple,1
purple,purple,purple,purple,1
black,black,black,black,1
white,white,white,white,1
white,white,white,white,1
red,red,red,red,1
pink,pink,pink,pink,1
red,red,red (not clear),red,1
white,white,white,white,1
yellow,yellow,yellow,yellow,1
yellow,yellow,yellow,yellow,1
red,red,red,red,1
red,red,red,red,1
green,green,green,green,1
blue,blue,blue,blue,1
purple,unintelligible,red,,unintelligible
white,white,white,white,1
red,red,red,red,1
black,black,black,black,1
purple,purple,purple,purple,1
green,green,green,green,1
white,white,white ,white,1
red,red,red,red,1
red,red,red,red,1
yellow,yellow,yellow,yellow,1
green,green,green (could be blue),green,1
black,black,black,black,1
pink,pink,pink,pink,1
pink,pink,pink,pink,1
yellow,yellow,yellow,yellow,1
purple,purple,purple,purple,1
white,white,white,white,1
red,red,red,red,1
white,white,white,white,1
white,white,white,white,1
purple,no-response,no-response,,no-response
green,green,green,green,1
white,white,white,white,1
yellow,yellow,yellow,yellow,1
blue,blue,blue,blue,1
black,black,black,black,1
red,red,red,red,1
red,red,red,red,1
blue,blue,blue,blue,1
pink,pink,pink,pink,1
red,red,red,red,1
white,white,white,white,1
purple,purple,purple,purple,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
purple,purple,purple,purple,1
blue,blue,blue,blue,1
yellow,yellow,yellow,yellow,1
white,white,white,white,1
purple,purple,purple,purple,1
white,white,white,white,1
purple,purple,purple,purple,1
purple,purple,purple,purple,1
red,red,red,red,1
pink,pink,pink,pink,1
red,red,red,red,1
pink,pink,pink,pink,1
blue,blue,blue,blue,1
blue,blue,blue,blue,1
white,white,white,white,1
blue,blue,blue,blue,1
white,white,white,white,1
black,black,black,black,1
purple,purple,purple,purple,1
green,green- not enunciated well,green,green,1
yellow,yellow,yellow,yellow,1
purple,purple,purple,purple,1
red,red,red,red,1
blue,"pink- ""pi- purple""",pink - purple,pink,0
red,red,red,red,1
white,white,white,white,1
pink,pink,pink,pink,1
white,white,white,white,1
green,green,green,green,1
yellow,yellow,yellow,yellow,1
red,red,red,red,1
blue,blue,blue,blue,1
green,green,green,green,1
black,black,black,black,1
white,white,white,white,1
black,black,black,black,1
red,red,red,red,1
red,red,red,red,1
