"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",0.983,0.983,0.94,0.916,0.94,0.916
"MC","Con",0.771,0.77,0.724,0.698,0.724,0.698
"MI","InCon",0.802,0.802,0.755,0.732,0.755,0.732
"MC","Con",0.705,0.705,0.65,0.621,0.65,0.621
"MI","InCon",0.751,0.751,0.71,0.687,0.71,0.687
"MI","InCon",0.846,0.847,0.792,0.771,0.792,0.771
"MI","InCon",0.628,0.628,0.591,0.572,0.591,0.572
"MC","Con",0.844,0.844,0.799,0.77,0.799,0.77
"MC","Con",0.71,0.71,0.667,0.643,0.667,0.643
"PC50","Con",0.978,0.977,0.936,0.915,0.936,0.915
"MC","Con",0.673,0.673,0.621,0.592,0.621,0.592
"MC","Con",0.596,0.596,0.549,0.523,0.549,0.523
"PC50","InCon",0.946,0.946,0.908,0.892,0.908,0.892
"MC","Con",0.634,0.634,0.586,0.544,0.586,0.544
"MC","Con",0.718,0.718,0.664,0.623,0.664,0.623
"MC","Con",0.598,0.598,0.553,0.528,0.553,0.528
"PC50","Con",0.764,0.76,0.678,0.641,0.678,0.641
"MI","InCon",0.687,0.687,0.646,0.625,0.646,0.625
"MI","Con",0.698,0.698,0.659,0.642,0.659,0.642
"MI","Con",0.814,0.814,0.774,0.755,0.774,0.755
"MI","InCon",0.835,0.835,0.79,0.758,0.79,0.758
"MI","Con",0.623,0.623,0.583,0.56,0.583,0.56
"MC","Con",0.685,0.685,0.639,0.613,0.639,0.613
"MI","InCon",0.943,0.943,0.755,0.721,0.755,0.721
"MI","Con",0.65,0.65,0.593,0.565,0.593,0.565
"MC","Con",0.746,0.746,0.693,0.643,0.693,0.643
"MC","Con",0.708,0.708,0.666,0.634,0.666,0.634
"MI","InCon",0.792,0.792,0.755,0.739,0.755,0.739
"MI","InCon",0.686,0.686,0.644,0.622,0.644,0.622
"MC","Con",0.644,0.644,0.582,0.556,0.582,0.556
"MC","Con",0.667,0.667,0.622,0.588,0.622,0.588
"PC50","InCon",1.326,1.326,1.293,1.275,1.293,1.275
"PC50","Con",1.009,1.009,0.97,0.944,0.97,0.944
"MC","Con",0.844,0.844,0.787,0.753,0.787,0.753
"MI","InCon",1.287,1.287,1.035,1.009,1.035,1.009
